id,path,dataset,kernel,has_qpy,has_metadata,has_funcs,qubits,depth,cnot_count,generation,max_search_fitness
digits-N5-Cnot2-D5-C8-g200-p0.03594,/home/qsvm/GA-QSVM/digits-N5-Cnot2-D5-C8-g200-p0.03594,digits,ga,True,True,True,5,5,2,50,0.75
digits-N5-Cnot2-D5-C8-g200-p0.04642,/home/qsvm/GA-QSVM/digits-N5-Cnot2-D5-C8-g200-p0.04642,digits,ga,True,True,True,5,5,2,52,0.75
digits-N5-Cnot2-D5-C8-g200-p0.05995,/home/qsvm/GA-QSVM/digits-N5-Cnot2-D5-C8-g200-p0.05995,digits,ga,True,True,True,5,5,2,54,0.74
digits-N5-Cnot2-D5-C8-g200-p0.07743,/home/qsvm/GA-QSVM/digits-N5-Cnot2-D5-C8-g200-p0.07743,digits,ga,True,True,True,5,5,2,54,0.75
digits-N5-Cnot2-D5-C8-g200-p0.1,/home/qsvm/GA-QSVM/digits-N5-Cnot2-D5-C8-g200-p0.1,digits,ga,True,True,True,5,5,2,58,0.77
digits-N6-Cnot3-D6-C8-g200-p0.01,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.01,digits,ga,True,True,True,6,6,3,57,0.81
digits-N6-Cnot3-D6-C8-g200-p0.01292,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.01292,digits,ga,True,True,True,6,6,3,56,0.8
digits-N6-Cnot3-D6-C8-g200-p0.01668,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.01668,digits,ga,True,True,True,6,6,3,52,0.78
digits-N6-Cnot3-D6-C8-g200-p0.02154,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.02154,digits,ga,True,True,True,6,6,3,55,0.79
digits-N6-Cnot3-D6-C8-g200-p0.02783,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.02783,digits,ga,True,True,True,6,6,3,55,0.8
digits-N6-Cnot3-D6-C8-g200-p0.03594,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.03594,digits,ga,True,True,True,6,6,3,58,0.78
digits-N6-Cnot3-D6-C8-g200-p0.04642,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.04642,digits,ga,True,True,True,6,6,3,62,0.79
digits-N6-Cnot3-D6-C8-g200-p0.05995,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.05995,digits,ga,True,True,True,6,6,3,72,0.8
digits-N6-Cnot3-D6-C8-g200-p0.07743,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.07743,digits,ga,True,True,True,6,6,3,74,0.8
digits-N6-Cnot3-D6-C8-g200-p0.1,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.1,digits,ga,True,True,True,6,6,3,200,0.8
digits-N6-Cnot3-D6-C8-g200-p0.12589,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.12589,digits,ga,True,True,True,6,6,3,200,0.79
digits-N6-Cnot3-D6-C8-g200-p0.15849,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.15849,digits,ga,True,True,True,6,6,3,200,0.8
digits-N6-Cnot3-D6-C8-g200-p0.19953,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.19953,digits,ga,True,True,True,6,6,3,200,0.8
digits-N6-Cnot3-D6-C8-g200-p0.25119,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.25119,digits,ga,True,True,True,6,6,3,200,0.8
digits-N6-Cnot3-D6-C8-g200-p0.31623,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.31623,digits,ga,True,True,True,6,6,3,200,0.79
digits-N6-Cnot3-D6-C8-g200-p0.39811,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.39811,digits,ga,True,True,True,6,6,3,200,0.79
digits-N6-Cnot3-D6-C8-g200-p0.50119,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.50119,digits,ga,True,True,True,6,6,3,200,0.8
digits-N6-Cnot3-D6-C8-g200-p0.63096,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.63096,digits,ga,True,True,True,6,6,3,200,0.79
digits-N6-Cnot3-D6-C8-g200-p0.79433,/home/qsvm/GA-QSVM/digits-N6-Cnot3-D6-C8-g200-p0.79433,digits,ga,True,True,True,6,6,3,200,0.8
digits-N7,/home/qsvm/GA-QSVM/digits-N7,digits,ga,False,False,False,,,,,
digits-N7-Cnot4-D7-C8-g200-p0.01,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.01,digits,ga,True,True,True,7,7,4,50,0.8
digits-N7-Cnot4-D7-C8-g200-p0.01292,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.01292,digits,ga,True,True,True,7,7,4,91,0.82
digits-N7-Cnot4-D7-C8-g200-p0.01668,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.01668,digits,ga,True,True,True,7,7,4,100,0.8
digits-N7-Cnot4-D7-C8-g200-p0.02154,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.02154,digits,ga,True,True,True,7,7,4,53,0.8
digits-N7-Cnot4-D7-C8-g200-p0.02783,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.02783,digits,ga,True,True,True,7,7,4,85,0.81
digits-N7-Cnot4-D7-C8-g200-p0.03594,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.03594,digits,ga,True,True,True,7,7,4,55,0.79
digits-N7-Cnot4-D7-C8-g200-p0.04642,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.04642,digits,ga,True,True,True,7,7,4,53,0.81
digits-N7-Cnot4-D7-C8-g200-p0.05995,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.05995,digits,ga,True,True,True,7,7,4,50,0.79
digits-N7-Cnot4-D7-C8-g200-p0.07743,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.07743,digits,ga,True,True,True,7,7,4,65,0.81
digits-N7-Cnot4-D7-C8-g200-p0.1,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.1,digits,ga,True,True,True,7,7,4,200,0.81
digits-N7-Cnot4-D7-C8-g200-p0.12589,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.12589,digits,ga,True,True,True,7,7,4,200,0.81
digits-N7-Cnot4-D7-C8-g200-p0.15849,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.15849,digits,ga,True,True,True,7,7,4,200,0.8
digits-N7-Cnot4-D7-C8-g200-p0.19953,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.19953,digits,ga,True,True,True,7,7,4,200,0.81
digits-N7-Cnot4-D7-C8-g200-p0.25119,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.25119,digits,ga,True,True,True,7,7,4,200,0.81
digits-N7-Cnot4-D7-C8-g200-p0.31623,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.31623,digits,ga,True,True,True,7,7,4,200,0.79
digits-N7-Cnot4-D7-C8-g200-p0.39811,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.39811,digits,ga,True,True,True,7,7,4,200,0.8
digits-N7-Cnot4-D7-C8-g200-p0.50119,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.50119,digits,ga,True,True,True,7,7,4,200,0.81
digits-N7-Cnot4-D7-C8-g200-p0.63096,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.63096,digits,ga,True,True,True,7,7,4,200,0.81
digits-N7-Cnot4-D7-C8-g200-p0.79433,/home/qsvm/GA-QSVM/digits-N7-Cnot4-D7-C8-g200-p0.79433,digits,ga,True,True,True,7,7,4,200,0.82
experiment,/home/qsvm/GA-QSVM/experiment,unknown,ga,False,False,False,,,,,
fashion-N10-Cnot5-D10-C16-g200-p0.01,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.01,fashion,ga,True,True,True,10,10,5,99,0.68
fashion-N10-Cnot5-D10-C16-g200-p0.01292,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.01292,fashion,ga,True,True,True,10,10,5,66,0.62
fashion-N10-Cnot5-D10-C16-g200-p0.01668,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.01668,fashion,ga,True,True,True,10,10,5,67,0.63
fashion-N10-Cnot5-D10-C16-g200-p0.02154,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.02154,fashion,ga,True,True,True,10,10,5,65,0.63
fashion-N10-Cnot5-D10-C16-g200-p0.02783,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.02783,fashion,ga,True,True,True,10,10,5,92,0.61
fashion-N10-Cnot5-D10-C16-g200-p0.03594,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.03594,fashion,ga,True,True,True,10,10,5,88,0.61
fashion-N10-Cnot5-D10-C16-g200-p0.04642,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.04642,fashion,ga,True,True,True,10,10,5,54,0.6
fashion-N10-Cnot5-D10-C16-g200-p0.05995,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.05995,fashion,ga,True,True,True,10,10,5,69,0.62
fashion-N10-Cnot5-D10-C16-g200-p0.07743,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.07743,fashion,ga,True,True,True,10,10,5,91,0.64
fashion-N10-Cnot5-D10-C16-g200-p0.1,/home/qsvm/GA-QSVM/fashion-N10-Cnot5-D10-C16-g200-p0.1,fashion,ga,True,True,True,10,10,5,84,0.62
install-tl-20250807,/home/qsvm/GA-QSVM/install-tl-20250807,unknown,ga,False,False,False,,,,,
notebook,/home/qsvm/GA-QSVM/notebook,unknown,ga,False,False,False,,,,,
qoop,/home/qsvm/GA-QSVM/qoop,unknown,ga,False,False,False,,,,,
wandb,/home/qsvm/GA-QSVM/wandb,unknown,ga,False,False,False,,,,,
wine-N10-Cnot5-D10-C16-g200-p0.01,/home/qsvm/GA-QSVM/wine-N10-Cnot5-D10-C16-g200-p0.01,wine,ga,True,True,True,10,10,5,78,0.9871794871794872
wine-N10-Cnot5-D10-C16-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N10-Cnot5-D10-C16-g200-p0.01292,wine,ga,True,True,True,10,10,5,18,0.9743589743589743
wine-N10-Cnot5-D10-C16-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N10-Cnot5-D10-C16-g200-p0.01668,wine,ga,True,True,True,10,10,5,33,0.9743589743589743
wine-N4-Cnot2-D4-C8-g200-p0.01,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.01,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.01292,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.01668,wine,ga,True,True,True,4,4,2,51,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.02154,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.02154,wine,ga,True,True,True,4,4,2,51,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.02783,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.02783,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.03594,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.03594,wine,ga,True,True,True,4,4,2,52,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.04642,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.04642,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.05995,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.05995,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D4-C8-g200-p0.07743,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.07743,wine,ga,True,True,True,4,4,2,50,0.9615384615384616
wine-N4-Cnot2-D4-C8-g200-p0.1,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D4-C8-g200-p0.1,wine,ga,True,True,True,4,4,2,54,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.01,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.01,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.01292,wine,ga,True,True,True,4,4,2,55,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.01668,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.02154,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.02154,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.02783,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.02783,wine,ga,True,True,True,4,4,2,51,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.03594,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.03594,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.04642,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.04642,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.05995,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.05995,wine,ga,True,True,True,4,4,2,50,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.07743,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.07743,wine,ga,True,True,True,4,4,2,52,0.9487179487179487
wine-N4-Cnot2-D5-C8-g200-p0.1,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D5-C8-g200-p0.1,wine,ga,True,True,True,4,4,2,51,0.9487179487179487
wine-N4-Cnot2-D6-C8-g200-p0.01,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D6-C8-g200-p0.01,wine,ga,True,True,True,4,4,2,52,0.9487179487179487
wine-N4-Cnot2-D6-C8-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D6-C8-g200-p0.01292,wine,ga,True,True,True,4,4,2,51,0.9487179487179487
wine-N4-Cnot2-D6-C8-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D6-C8-g200-p0.01668,wine,ga,True,True,True,4,4,2,52,0.9487179487179487
wine-N4-Cnot2-D6-C8-g200-p0.02154,/home/qsvm/GA-QSVM/wine-N4-Cnot2-D6-C8-g200-p0.02154,wine,ga,True,True,True,4,4,2,11,0.9487179487179487
wine-N5-Cnot2-D5-C8-g200-p0.01,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.01,wine,ga,True,True,True,5,5,2,54,0.9743589743589743
wine-N5-Cnot2-D5-C8-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.01292,wine,ga,True,True,True,5,5,2,70,0.9743589743589743
wine-N5-Cnot2-D5-C8-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.01668,wine,ga,True,True,True,5,5,2,50,0.9615384615384616
wine-N5-Cnot2-D5-C8-g200-p0.02154,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.02154,wine,ga,True,True,True,5,5,2,50,0.9615384615384616
wine-N5-Cnot2-D5-C8-g200-p0.02783,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.02783,wine,ga,True,True,True,5,5,2,52,0.9615384615384616
wine-N5-Cnot2-D5-C8-g200-p0.03594,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.03594,wine,ga,True,True,True,5,5,2,58,0.9743589743589743
wine-N5-Cnot2-D5-C8-g200-p0.04642,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.04642,wine,ga,True,True,True,5,5,2,51,0.9615384615384616
wine-N5-Cnot2-D5-C8-g200-p0.05995,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.05995,wine,ga,True,True,True,5,5,2,51,0.9743589743589743
wine-N5-Cnot2-D5-C8-g200-p0.07743,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.07743,wine,ga,True,True,True,5,5,2,52,0.9615384615384616
wine-N5-Cnot2-D5-C8-g200-p0.1,/home/qsvm/GA-QSVM/wine-N5-Cnot2-D5-C8-g200-p0.1,wine,ga,True,True,True,5,5,2,70,0.9615384615384616
wine-N6-Cnot3-D6-C8-g200-p0.01,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.01,wine,ga,True,True,True,6,6,3,53,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.01292,wine,ga,True,True,True,6,6,3,50,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.01668,wine,ga,True,True,True,6,6,3,94,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.02154,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.02154,wine,ga,True,True,True,6,6,3,86,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.02783,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.02783,wine,ga,True,True,True,6,6,3,51,0.9615384615384616
wine-N6-Cnot3-D6-C8-g200-p0.03594,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.03594,wine,ga,True,True,True,6,6,3,53,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.04642,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.04642,wine,ga,True,True,True,6,6,3,58,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.05995,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.05995,wine,ga,True,True,True,6,6,3,53,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.07743,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.07743,wine,ga,True,True,True,6,6,3,78,0.9743589743589743
wine-N6-Cnot3-D6-C8-g200-p0.1,/home/qsvm/GA-QSVM/wine-N6-Cnot3-D6-C8-g200-p0.1,wine,ga,True,True,True,6,6,3,50,0.9615384615384616
wine-N7,/home/qsvm/GA-QSVM/wine-N7,wine,ga,False,False,False,,,,,
wine-N7-Cnot4-D7-C8-g200-p0.01,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.01,wine,ga,True,True,True,7,7,4,66,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.01292,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.01292,wine,ga,True,True,True,7,7,4,50,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.01668,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.01668,wine,ga,True,True,True,7,7,4,51,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.02154,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.02154,wine,ga,True,True,True,7,7,4,58,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.02783,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.02783,wine,ga,True,True,True,7,7,4,63,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.03594,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.03594,wine,ga,True,True,True,7,7,4,53,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.04642,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.04642,wine,ga,True,True,True,7,7,4,94,0.9871794871794872
wine-N7-Cnot4-D7-C8-g200-p0.05995,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.05995,wine,ga,True,True,True,7,7,4,68,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.07743,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.07743,wine,ga,True,True,True,7,7,4,68,0.9743589743589743
wine-N7-Cnot4-D7-C8-g200-p0.1,/home/qsvm/GA-QSVM/wine-N7-Cnot4-D7-C8-g200-p0.1,wine,ga,True,True,True,7,7,4,73,0.9743589743589743
