dataset,component,cumulative_explained_variance
digits,1,0.12033916097734901
digits,2,0.21594970500832789
digits,3,0.3003938539345733
digits,4,0.36537793300981486
digits,5,0.4139794817694789
digits,6,0.45612068046219834
digits,7,0.495541508497872
digits,8,0.5294353177442552
digits,9,0.5594175278605075
digits,10,0.5887375533730296
digits,11,0.6165556080085328
digits,12,0.6423261589343527
digits,13,0.6650791920919953
digits,14,0.6873509894871388
digits,15,0.7090032838056312
digits,16,0.7281449498700525
digits,17,0.7459004207217345
digits,18,0.7622811134645787
digits,19,0.7782457151532022
digits,20,0.7931376270240804
digits,21,0.8066173226822598
digits,22,0.8193366363846074
digits,23,0.8309950098905269
digits,24,0.8415714758758901
digits,25,0.8513246353478712
digits,26,0.8607702252451912
digits,27,0.8694003635148985
digits,28,0.8777667920515836
digits,29,0.8857437245356959
digits,30,0.8932084382449565
digits,31,0.9004642597586593
digits,32,0.9073833722134711
digits,33,0.9139224575691972
digits,34,0.920330383307657
digits,35,0.9262442244248805
digits,36,0.9319558484771158
digits,37,0.9371922165112822
digits,38,0.9420102923757335
digits,39,0.9465474849743181
digits,40,0.9507791125066458
digits,41,0.9548396432064362
digits,42,0.9588104912891945
digits,43,0.9623754243206206
digits,44,0.9657832961353237
digits,45,0.9690616494882032
digits,46,0.9721719695616567
digits,47,0.9750577225027461
digits,48,0.9778226151379816
digits,49,0.9804143645467963
digits,50,0.9827591946021527
digits,51,0.9849417631792727
digits,52,0.9869777395245265
digits,53,0.9889328637847247
digits,54,0.9907660487766965
digits,55,0.9924455126516524
digits,56,0.9940578732742197
digits,57,0.9955355002152806
digits,58,0.9968866843286515
digits,59,0.9981376917536244
digits,60,0.9991746490551816
digits,61,0.9999999999999997
digits,62,0.9999999999999997
digits,63,0.9999999999999997
digits,64,0.9999999999999997
wine,1,0.36198848099926334
wine,2,0.5540633835693527
wine,3,0.6652996889318525
wine,4,0.7359899907589929
wine,5,0.8016229275554788
wine,6,0.8509811607477045
wine,7,0.8933679539739376
wine,8,0.9201754434577263
wine,9,0.9423969775056235
wine,10,0.9616971684450643
wine,11,0.9790655253449634
wine,12,0.9920478511010055
wine,13,1.0
cancer,1,0.4427202560752637
cancer,2,0.6324320765155943
cancer,3,0.7263637090899081
cancer,4,0.7923850582446096
cancer,5,0.8473427431680722
cancer,6,0.8875879635669057
cancer,7,0.9100953006967308
cancer,8,0.9259825386969441
cancer,9,0.9398790324425352
cancer,10,0.9515688143366667
cancer,11,0.961366004212647
cancer,12,0.9700713832200258
cancer,13,0.9781166330919931
cancer,14,0.9833502905469195
cancer,15,0.9864881227145469
cancer,16,0.9891502160796992
cancer,17,0.9911301840050235
cancer,18,0.9928841434552499
cancer,19,0.994533396514475
cancer,20,0.9955720432628138
cancer,21,0.996571139726514
cancer,22,0.9974857864775684
cancer,23,0.9982971477364675
cancer,24,0.9988989813031391
cancer,25,0.9994150236823043
cancer,26,0.9996876116777818
cancer,27,0.9999176271402878
cancer,28,0.9999706050693259
cancer,29,0.9999955651725728
cancer,30,1.0000000000000002
